"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"6","Apolide","0","01-01-1900","31-12-9999"
"7","In corso di definizione","0","01-01-1900","31-12-9999"
"8","Non attribuibile","0","01-01-1900","31-12-9999"
"1","Italiana","0","01-01-1900","31-12-9999"
"2","Straniera","0","01-01-1900","31-12-9999"
"3","Straniera paesi U.E.","0","01-01-1900","31-12-9999"
"4","Straniera paesi dello Spazio Economico Europeo e paesi  con accordi di associazione","0","01-01-1900","31-12-9999"
"5","Straniera paesi non U.E.","0","01-01-1900","31-12-9999"
"9","Tutte","0","01-01-1900","31-12-9999"
